Ranking,Country,Regional indicator,Happiness score,GDP per capita,Social support,Healthy life expectancy,Freedom to make life choices,Generosity,Perceptions of corruption,Year,Country_Standardized,Region_Standardized
1,Switzerland,Western Europe,7.587,8.26132,0.9624,73,0.99379,0.37289,0.23941,2015,Switzerland,Western Europe
2,Iceland,Western Europe,7.561,7.70416,1.0,73,0.93884,0.54819,0.74371,2015,Iceland,Northern Europe
3,Denmark,Western Europe,7.527,7.84114,0.9703,70,0.96962,0.42894,0.12382,2015,Denmark,Northern Europe
4,Norway,Western Europe,7.522,8.631,0.94917,71,1.0,0.43598,0.3386,2015,Norway,Northern Europe
5,Canada,North America and ANZ,7.427,7.84595,0.94322,71,0.94511,0.5756,0.40285,2015,Canada,Northern America
6,Finland,Western Europe,7.406,7.63273,0.94012,71,0.95813,0.29339,0.25039,2015,Finland,Northern Europe
7,Netherlands,Western Europe,7.378,7.8646,0.91295,71,0.91942,0.59821,0.42357,2015,Netherlands,Western Europe
8,Sweden,Western Europe,7.364,7.87799,0.9193,72,0.98517,0.45562,0.2056,2015,Sweden,Northern Europe
9,New Zealand,North America and ANZ,7.286,7.39573,0.94112,72,0.95468,0.59683,0.22231,2015,New Zealand,Australia and New Zealand
10,Australia,North America and ANZ,7.284,7.88909,0.93368,72,0.97239,0.54734,0.35431,2015,Australia,Australia and New Zealand
11,Israel,Middle East and North Africa,7.278,7.26786,0.87285,72,0.61695,0.41679,0.85894,2015,Israel,Western Asia
12,Costa Rica,Latin America and Caribbean,7.226,5.65412,0.88279,70,0.94629,0.32036,0.80826,2015,Costa Rica,Central America
13,Austria,Western Europe,7.2,7.91067,0.92498,71,0.93222,0.41574,0.66161,2015,Austria,Western Europe
14,Mexico,Latin America and Caribbean,7.187,6.03719,0.65218,68,0.71941,0.17683,0.61385,2015,Mexico,Central America
15,United States,North America and ANZ,7.119,8.24951,0.88938,70,0.8153,0.50391,0.7121,2015,United States,Northern America
16,Brazil,Latin America and Caribbean,6.983,5.80471,0.87922,64,0.73237,0.18312,0.68253,2015,Brazil,South America
17,Luxembourg,Western Europe,6.946,9.25162,0.86977,72,0.91952,0.35223,0.31515,2015,Luxembourg,Western Europe
18,Ireland,Western Europe,6.94,7.90313,0.97664,71,0.92242,0.57673,0.47994,2015,Ireland,Northern Europe
19,Belgium,Western Europe,6.937,7.73666,0.91687,71,0.87274,0.27956,0.59161,2015,Belgium,Western Europe
20,United Arab Emirates,Middle East and North Africa,6.901,8.44328,0.80283,68,0.95795,0.33205,0.30091,2015,United Arab Emirates,Western Asia
21,United Kingdom,Western Europe,6.867,7.4915,0.91674,72,0.89029,0.65226,0.41899,2015,United Kingdom,Northern Europe
22,Oman,Middle East and North Africa,6.853,8.04603,0.7715,66,0.94476,0.27067,0.4107,2015,Oman,Western Asia
23,Venezuela,Latin America and Caribbean,6.81,6.1774,0.89569,65,0.64068,0.07339,0.79944,2015,Venezuela,South America
24,Singapore,Southeast Asia,6.798,9.00287,0.72741,76,0.81005,0.39082,0.10837,2015,Singapore,South-eastern Asia
25,Panama,Latin America and Caribbean,6.786,6.29152,0.85471,68,0.80943,0.307,0.83204,2015,Panama,Central America
26,Germany,Western Europe,6.75,7.8556,0.92665,71,0.91794,0.3545,0.60423,2015,Germany,Western Europe
27,Chile,Latin America and Caribbean,6.67,6.54959,0.80191,70,0.65895,0.4192,0.76683,2015,Chile,South America
28,Qatar,Middle East and North Africa,6.611,10.0,0.7692,68,0.9562,0.40927,0.05406,2015,Qatar,Western Asia
29,France,Western Europe,6.575,7.55899,0.89884,73,0.82139,0.15494,0.62592,2015,France,Western Europe
30,Argentina,Latin America and Caribbean,6.574,6.23223,0.89018,67,0.67152,0.14388,0.84629,2015,Argentina,South America
31,Czech Republic,Central and Eastern Europe,6.505,6.97451,0.86037,69,0.69228,0.13426,0.95195,2015,Czechia,Eastern Europe
32,Uruguay,Latin America and Caribbean,6.485,6.28049,0.86213,68,0.90129,0.292,0.55504,2015,Uruguay,South America
33,Colombia,Latin America and Caribbean,6.477,5.43424,0.88444,64,0.79832,0.2312,0.90723,2015,Colombia,South America
34,Thailand,Southeast Asia,6.455,5.71991,0.90217,65,0.83114,0.72411,0.94226,2015,Thailand,South-eastern Asia
35,Saudi Arabia,Middle East and North Africa,6.411,8.25484,0.773,65,0.46359,0.17221,0.4107,2015,Saudi Arabia,Western Asia
36,Spain,Western Europe,6.329,7.277,0.93693,73,0.6861,0.22902,0.88407,2015,Spain,Southern Europe
37,Malta,Western Europe,6.302,7.14263,0.92854,71,0.90133,0.65024,0.75385,2015,Malta,Southern Europe
38,Taiwan,East Asia,6.298,7.63708,0.76747,70,0.59338,0.31884,0.85271,2015,Taiwan,Eastern Asia
39,Kuwait,Middle East and North Africa,6.295,9.19429,0.83149,65,0.82868,0.2039,0.53599,2015,Kuwait,Western Asia
40,Suriname,Latin America and Caribbean,6.269,5.88815,0.69318,61,0.89076,0.21348,0.75298,2015,Suriname,South America
41,Trinidad and Tobago,Latin America and Caribbean,6.168,7.16886,0.84404,61,0.83443,0.4001,0.97934,2015,Trinidad and Tobago,Caribbean
42,El Salvador,Latin America and Caribbean,6.13,4.52282,0.73103,63,0.60248,0.13435,0.78663,2015,El Salvador,Central America
43,Guatemala,Latin America and Caribbean,6.123,4.41035,0.74422,62,0.86203,0.34539,0.82838,2015,Guatemala,Central America
44,Uzbekistan,Commonwealth of Independent States,6.003,3.74131,0.95593,60,0.9828,0.28694,0.44147,2015,Uzbekistan,Central Asia
45,Slovakia,Central and Eastern Europe,5.995,6.91492,0.90569,67,0.47409,0.21225,0.93784,2015,Slovakia,Eastern Europe
46,Japan,East Asia,5.987,7.5173,0.89651,75,0.74081,0.13451,0.67277,2015,Japan,Eastern Asia
47,South Korea,East Asia,5.984,7.36272,0.68301,74,0.49585,0.23316,0.85764,2015,South Korea,Eastern Asia
48,Ecuador,Latin America and Caribbean,5.975,5.1113,0.71246,67,0.72528,0.14501,0.67224,2015,Ecuador,South America
49,Bahrain,Middle East and North Africa,5.96,7.83099,0.86736,66,0.67925,0.21815,0.44557,2015,Bahrain,Western Asia
50,Italy,Western Europe,5.948,7.40136,0.85419,73,0.39174,0.28676,0.94744,2015,Italy,Southern Europe
51,Bolivia,Latin America and Caribbean,5.89,4.03057,0.69775,58,0.85727,0.25803,0.84056,2015,Bolivia,South America
52,Moldova,Commonwealth of Independent States,5.889,3.51674,0.72404,61,0.49002,0.26325,0.97074,2015,Moldova,Eastern Europe
53,Paraguay,Latin America and Caribbean,5.878,4.49503,0.9305,63,0.80478,0.43021,0.85067,2015,Paraguay,South America
54,Kazakhstan,Commonwealth of Independent States,5.855,6.64062,0.80045,62,0.77119,0.1486,0.84683,2015,Kazakhstan,Central Asia
55,Slovenia,Central and Eastern Europe,5.848,7.00998,0.90844,70,0.90865,0.31824,0.93139,2015,Slovenia,Southern Europe
56,Lithuania,Central and Eastern Europe,5.833,6.7867,0.89675,65,0.31867,0.03318,0.98131,2015,Lithuania,Northern Europe
57,Nicaragua,Latin America and Caribbean,5.828,3.50947,0.8143,66,0.82831,0.34949,0.65,2015,Nicaragua,Central America
58,Peru,Latin America and Caribbean,5.824,5.32525,0.69503,65,0.61959,0.18824,0.89148,2015,Peru,South America
59,Belarus,Commonwealth of Independent States,5.813,6.10455,0.87923,65,0.56646,0.13879,0.65411,2015,Belarus,Eastern Europe
60,Poland,Central and Eastern Europe,5.791,6.65842,0.91246,67,0.79318,0.21057,0.92369,2015,Poland,Eastern Europe
61,Malaysia,Southeast Asia,5.77,6.65435,0.76323,65,0.79172,0.41558,0.80974,2015,Malaysia,South-eastern Asia
62,Croatia,Central and Eastern Europe,5.759,6.40398,0.56784,67,0.38647,0.0684,0.95597,2015,Croatia,Southern Europe
63,Libya,Middle East and North Africa,5.754,6.6933,0.79774,64,0.62216,0.22987,0.80028,2015,Libya,Northern Africa
64,Russia,Commonwealth of Independent States,5.716,6.72997,0.88157,63,0.54766,0.0025,0.94555,2015,Russia,Eastern Europe
65,Jamaica,Latin America and Caribbean,5.709,4.79395,0.82085,64,0.75316,0.26675,0.95835,2015,Jamaica,Caribbean
66,North Cyprus,Western Europe,5.695,7.14652,0.76313,72,0.73204,0.32881,0.74126,2015,Cyprus,Western Asia
67,Cyprus,Western Europe,5.689,7.14692,0.63697,72,0.60729,0.38496,0.88864,2015,Cyprus,Western Asia
68,Algeria,Middle East and North Africa,5.605,5.55657,0.76857,61,0.42672,0.09828,0.68504,2015,Algeria,Northern Africa
69,Kosovo,Central and Eastern Europe,5.589,4.74132,0.57906,62,0.36953,0.3557,0.9141,2015,Kosovo,Southern Europe
70,Turkmenistan,Commonwealth of Independent States,5.548,5.67006,0.87481,58,0.71087,0.21333,0.44115,2015,Turkmenistan,Central Asia
71,Mauritius,Sub-Saharan Africa,5.477,5.96071,0.7026,64,0.83714,0.47425,0.86373,2015,Mauritius,Eastern Africa
